Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
001030138,E36,00030646,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:05:41 PM,04/12/2000 10:06:59 PM,04/12/2000 10:07:11 PM,04/12/2000 10:08:08 PM,04/12/2000 10:09:30 PM,,,Other,04/12/2000 10:12:38 PM,9TH ST/MISSION ST,SF,94103,B02,36,2336,3,3,3,false,,1,ENGINE,1,2,6,South of Market,"(37.7762305177878, -122.414711004673)",001030138-E36
001030139,M41,00030647,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:06:10 PM,04/12/2000 10:07:24 PM,04/12/2000 10:08:04 PM,04/12/2000 10:10:47 PM,04/12/2000 10:20:31 PM,,,Other,04/12/2000 11:18:29 PM,100 Block of EDDY ST,SF,94102,B03,01,1453,1,1,2,true,,1,MEDIC,1,3,6,Tenderloin,"(37.7841909047888, -122.410119483452)",001030139-M41
001030142,K439,00030650,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:08:59 PM,04/12/2000 10:11:22 PM,04/12/2000 10:13:08 PM,04/12/2000 10:17:11 PM,04/12/2000 10:19:49 PM,04/12/2000 10:23:38 PM,04/12/2000 10:51:51 PM,Other,04/12/2000 10:52:39 PM,2400 Block of SUTTER ST,SF,94115,B05,10,4155,2,2,2,false,,1,PRIVATE,1,5,2,Pacific Heights,"(37.7851959510121, -122.440715841453)",001030142-K439
001030143,E10,00030651,Other,04/12/2000,04/12/2000,04/12/2000 10:12:12 PM,04/12/2000 10:14:28 PM,04/12/2000 10:14:58 PM,04/12/2000 10:16:26 PM,04/12/2000 10:19:01 PM,,,Other,04/12/2000 10:25:19 PM,100 Block of PARKER AVE,SF,94118,B07,10,4453,3,3,3,false,,1,ENGINE,1,7,2,Presidio Heights,"(37.7828208961152, -122.454351033841)",001030143-E10
001030144,RA13,00030653,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:19:06 PM,04/12/2000 10:20:31 PM,04/12/2000 10:22:31 PM,04/12/2000 10:23:23 PM,04/12/2000 10:34:16 PM,,04/12/2000 11:12:29 PM,Other,04/12/2000 11:29:15 PM,0 Block of 6TH ST,SF,94103,B03,01,2248,1,1,2,false,,1,AIRPORT,1,3,6,South of Market,"(37.7815374331217, -122.409518341416)",001030144-RA13
001030148,M05,00030657,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:29:10 PM,04/12/2000 10:30:41 PM,04/12/2000 10:32:34 PM,04/12/2000 10:34:47 PM,04/12/2000 10:37:28 PM,04/12/2000 10:41:39 PM,04/12/2000 10:53:49 PM,Other,04/12/2000 11:10:27 PM,HAIGHT ST/STANYAN ST,SF,94117,B05,12,4545,E,E,3,false,,1,MEDIC,1,7,5,Haight Ashbury,"(37.7691652248423, -122.453536875377)",001030148-M05
001030154,M36,00030662,Medical Incident,04/12/2000,04/12/2000,04/12/2000 10:43:54 PM,04/12/2000 10:45:53 PM,04/12/2000 10:49:59 PM,04/12/2000 10:50:35 PM,04/12/2000 10:53:18 PM,04/12/2000 11:11:36 PM,04/12/2000 11:22:17 PM,Other,04/12/2000 11:42:43 PM,0 Block of SOUTH VAN NESS AVE,SF,94103,B02,36,5117,1,1,2,false,,1,MEDIC,1,2,6,Mission,"(37.7741251002903, -122.418810211803)",001030154-M36
001030159,M03,00030668,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:06:10 PM,04/12/2000 11:06:57 PM,04/12/2000 11:08:11 PM,04/12/2000 11:10:20 PM,04/12/2000 11:16:11 PM,04/12/2000 11:38:46 PM,04/13/2000 12:04:40 AM,Other,04/13/2000 12:15:33 AM,700 Block of EDDY ST,SF,94102,B02,03,3163,1,1,2,true,,1,MEDIC,1,2,6,Tenderloin,"(37.782943523582, -122.419988441304)",001030159-M03
001030165,M14,00030672,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:15:09 PM,04/12/2000 11:16:44 PM,04/12/2000 11:17:04 PM,04/12/2000 11:17:45 PM,04/12/2000 11:21:24 PM,04/13/2000 12:02:32 AM,04/13/2000 12:02:36 AM,Other,04/13/2000 12:24:07 AM,300 Block of 11TH AVE,SF,94118,B07,31,7141,3,3,3,true,,1,MEDIC,2,7,1,Inner Richmond,"(37.7817385392724, -122.469629422744)",001030165-M14
001030165,RC2,00030672,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:15:09 PM,04/12/2000 11:16:44 PM,04/12/2000 11:17:04 PM,04/12/2000 11:19:54 PM,,,,Other,04/12/2000 11:49:28 PM,300 Block of 11TH AVE,SF,94118,B07,31,7141,3,3,3,true,,1,RESCUE CAPTAIN,4,7,1,Inner Richmond,"(37.7817385392724, -122.469629422744)",001030165-RC2
001030167,M01,00030674,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:13:50 PM,04/12/2000 11:19:41 PM,04/12/2000 11:21:14 PM,04/12/2000 11:23:56 PM,04/12/2000 11:46:27 PM,04/12/2000 11:50:22 PM,04/12/2000 11:58:18 PM,Other,04/13/2000 12:28:50 AM,400 Block of EDDY ST,SF,94109,B02,03,1545,1,1,2,true,,1,MEDIC,1,2,6,Tenderloin,"(37.7836739523567, -122.415072980803)",001030167-M01
001030168,M02,00030675,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:17:40 PM,04/12/2000 11:20:43 PM,04/12/2000 11:22:42 PM,04/12/2000 11:23:36 PM,04/12/2000 11:33:06 PM,04/12/2000 11:54:56 PM,04/12/2000 11:55:03 PM,Other,04/13/2000 12:05:42 AM,800 Block of MARKET ST,SF,94103,B03,01,1364,2,2,2,false,,1,MEDIC,1,3,6,South of Market,"(37.7850811742657, -122.406497767804)",001030168-M02
001030172,E43,00030679,Medical Incident,04/12/2000,04/12/2000,04/12/2000 11:32:33 PM,04/12/2000 11:35:26 PM,04/12/2000 11:35:47 PM,04/12/2000 11:38:40 PM,04/12/2000 11:41:34 PM,,,Other,04/13/2000 12:12:26 AM,1700 Block of SUNNYDALE AVE,SF,94134,B09,43,6241,3,3,3,false,,1,ENGINE,2,9,10,Visitacion Valley,"(37.7122553983208, -122.417104410317)",001030172-E43
001030180,E12,00030687,Alarms,04/12/2000,04/12/2000,04/12/2000 11:51:58 PM,04/12/2000 11:52:12 PM,04/12/2000 11:52:38 PM,,04/12/2000 11:54:54 PM,,,Other,04/13/2000 12:04:01 AM,1300 Block of 3RD AVE,SF,94122,B05,12,7324,3,3,3,true,,1,ENGINE,1,5,5,Inner Sunset,"(37.7636254238547, -122.459769881329)",001030180-E12
001040001,E10,00030691,Alarms,04/13/2000,04/12/2000,04/13/2000 12:02:03 AM,04/13/2000 12:02:25 AM,04/13/2000 12:02:39 AM,04/13/2000 12:04:41 AM,04/13/2000 12:06:26 AM,,,Other,04/13/2000 12:08:37 AM,100 Block of COMMONWEALTH AVE,SF,94118,B07,10,4451,3,3,3,false,,1,ENGINE,1,7,2,Presidio Heights,"(37.7827018149925, -122.455686742558)",001040001-E10
001040004,M15,00030694,Medical Incident,04/13/2000,04/12/2000,04/13/2000 12:14:12 AM,04/13/2000 12:16:12 AM,04/13/2000 12:16:27 AM,04/13/2000 12:18:07 AM,04/13/2000 12:26:17 AM,04/13/2000 12:47:17 AM,04/13/2000 12:55:03 AM,Other,04/13/2000 02:19:51 AM,2400 Block of 25TH AVE,SF,94116,B08,40,7461,3,3,3,true,,1,MEDIC,2,8,4,Sunset/Parkside,"(37.7418306086265, -122.482124600424)",001040004-M15
001040007,E12,00030697,Structure Fire,04/13/2000,04/12/2000,04/13/2000 12:19:54 AM,04/13/2000 12:29:24 AM,04/13/2000 12:29:35 AM,04/13/2000 12:31:25 AM,04/13/2000 12:32:36 AM,,,Other,04/13/2000 12:33:18 AM,CLAYTON ST/PARNASSUS AV,SF,94117,B05,12,5151,3,3,3,true,,1,ENGINE,1,5,5,Haight Ashbury,"(37.7651387353822, -122.44763462758)",001040007-E12
001040010,M36,00030702,Medical Incident,04/13/2000,04/12/2000,04/13/2000 12:31:51 AM,04/13/2000 12:32:53 AM,04/13/2000 12:36:39 AM,04/13/2000 12:39:47 AM,04/13/2000 12:47:08 AM,,,Other,04/13/2000 01:10:08 AM,2100 Block of MISSION ST,SF,94110,B02,07,5423,1,1,2,false,,1,MEDIC,1,2,9,Mission,"(37.7622701739914, -122.419470488515)",001040010-M36
001040014,M03,00030704,Medical Incident,04/13/2000,04/12/2000,04/13/2000 12:35:52 AM,04/13/2000 12:39:23 AM,04/13/2000 12:40:09 AM,04/13/2000 12:43:01 AM,04/13/2000 12:46:19 AM,,,Gone on Arrival,04/13/2000 12:51:20 AM,1600 Block of SACRAMENTO ST,SF,94109,B04,04,3123,2,2,2,true,,1,MEDIC,1,4,3,Nob Hill,"(37.7915456904816, -122.420036604993)",001040014-M03
001040016,M08,00030706,Medical Incident,04/13/2000,04/12/2000,04/13/2000 12:41:37 AM,04/13/2000 12:43:36 AM,04/13/2000 12:44:17 AM,04/13/2000 12:46:28 AM,04/13/2000 12:53:11 AM,04/13/2000 01:04:51 AM,04/13/2000 01:11:06 AM,Other,04/13/2000 01:21:50 AM,2700 Block of 16TH ST,SF,94110,B02,07,5237,1,1,2,true,,1,MEDIC,1,2,9,Mission,"(37.7653263612606, -122.414201573327)",001040016-M08
001040017,M01,00030707,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:01:59 AM,04/13/2000 01:03:12 AM,04/13/2000 01:07:10 AM,04/13/2000 01:08:45 AM,04/13/2000 01:21:19 AM,04/13/2000 01:22:17 AM,04/13/2000 01:27:29 AM,Other,04/13/2000 01:42:29 AM,1000 Block of MARKET ST,SF,94102,B03,01,1454,3,3,3,true,,1,MEDIC,3,3,6,Tenderloin,"(37.7817615940745, -122.411058175414)",001040017-M01
001040017,RC1,00030707,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:01:59 AM,04/13/2000 01:03:12 AM,04/13/2000 01:07:10 AM,04/13/2000 01:09:03 AM,04/13/2000 01:13:18 AM,,,Other,04/13/2000 01:22:25 AM,1000 Block of MARKET ST,SF,94102,B03,01,1454,3,3,3,true,,1,RESCUE CAPTAIN,2,3,6,Tenderloin,"(37.7817615940745, -122.411058175414)",001040017-RC1
001040020,E15,00030710,Smoke Investigation (Outside),04/13/2000,04/12/2000,04/13/2000 01:17:28 AM,04/13/2000 01:18:28 AM,04/13/2000 01:19:19 AM,04/13/2000 01:23:03 AM,04/13/2000 01:24:33 AM,,,Other,04/13/2000 02:27:23 AM,1000 Block of OCEAN AVE,SF,94112,B09,15,8224,3,3,3,false,,1,ENGINE,1,9,7,West of Twin Peaks,"(37.7234296370586, -122.453582402345)",001040020-E15
001040021,M14,00030711,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:17:25 AM,04/13/2000 01:18:44 AM,04/13/2000 01:20:02 AM,04/13/2000 01:21:40 AM,04/13/2000 01:24:05 AM,04/13/2000 01:56:02 AM,04/13/2000 02:33:33 AM,Other,04/13/2000 02:40:25 AM,500 Block of 38TH AVE,SF,94121,B07,34,7255,3,3,3,true,,1,MEDIC,1,7,1,Outer Richmond,"(37.778489948235, -122.498662035969)",001040021-M14
001040022,E33,00030712,Outside Fire,04/13/2000,04/12/2000,04/13/2000 01:17:52 AM,04/13/2000 01:19:54 AM,04/13/2000 01:21:01 AM,04/13/2000 01:24:20 AM,04/13/2000 01:28:32 AM,,,Other,04/13/2000 01:28:47 AM,2900 Block of ALEMANY BLVD,SF,94112,B09,33,8353,3,3,3,false,,1,ENGINE,1,9,11,Outer Mission,"(37.7116951666869, -122.45260734958)",001040022-E33
001040025,RA13,00030715,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:34:28 AM,04/13/2000 01:36:08 AM,04/13/2000 01:36:40 AM,04/13/2000 01:40:13 AM,04/13/2000 01:50:24 AM,,04/13/2000 02:40:23 AM,Other,04/13/2000 02:56:29 AM,100 Block of LEAVENWORTH ST,SF,94102,B02,01,1546,1,1,2,false,,1,AIRPORT,1,2,6,Tenderloin,"(37.7823375900777, -122.413891351995)",001040025-RA13
001040026,E14,00030716,Alarms,04/13/2000,04/12/2000,04/13/2000 01:38:59 AM,04/13/2000 01:40:37 AM,04/13/2000 01:40:51 AM,04/13/2000 01:42:32 AM,04/13/2000 01:43:43 AM,,,Other,04/13/2000 01:53:15 AM,3700 Block of ANZA ST,SF,94121,B07,14,7222,3,3,3,false,,1,ENGINE,1,7,1,Outer Richmond,"(37.7779412437244, -122.488336292698)",001040026-E14
001040027,A782,00030717,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:54:59 AM,04/13/2000 01:58:10 AM,04/13/2000 01:59:36 AM,04/13/2000 02:12:36 AM,,04/13/2000 02:22:30 AM,04/13/2000 02:40:22 AM,Other,04/13/2000 03:11:44 AM,1500 Block of CALIFORNIA ST,SF,94109,B04,41,1635,1,1,2,false,,1,PRIVATE,3,4,3,Nob Hill,"(37.7906289225699, -122.41985085623)",001040027-A782
001040028,E01,00030718,Medical Incident,04/13/2000,04/12/2000,04/13/2000 01:57:41 AM,04/13/2000 01:59:21 AM,04/13/2000 02:00:28 AM,04/13/2000 02:03:00 AM,04/13/2000 02:07:49 AM,,,Other,04/13/2000 02:15:13 AM,400 Block of OFARRELL ST,SF,94102,B01,01,1363,3,3,3,false,,1,ENGINE,1,3,6,Tenderloin,"(37.7857870051354, -122.41254776256)",001040028-E01
001040029,M09,00030719,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:01:12 AM,04/13/2000 02:05:05 AM,04/13/2000 02:07:20 AM,04/13/2000 02:09:20 AM,04/13/2000 02:12:06 AM,,,Other,04/13/2000 02:20:03 AM,2800 Block of 24TH ST,SF,94110,B06,09,5531,1,1,2,true,,1,MEDIC,1,6,9,Mission,"(37.7528787651491, -122.408664686116)",001040029-M09
001040030,M01,00030720,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:17:24 AM,04/13/2000 02:19:39 AM,04/13/2000 02:20:28 AM,04/13/2000 02:22:34 AM,04/13/2000 02:26:07 AM,04/13/2000 02:35:26 AM,,Other,04/13/2000 03:01:00 AM,0 Block of TAYLOR ST,SF,94102,B03,01,1454,1,1,2,true,,1,MEDIC,1,3,6,Tenderloin,"(37.7825025590102, -122.41055128181)",001040030-M01
001040031,M17,00030721,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:16:17 AM,04/13/2000 02:19:58 AM,04/13/2000 02:21:14 AM,04/13/2000 02:24:07 AM,04/13/2000 02:30:18 AM,04/13/2000 02:47:23 AM,04/13/2000 03:01:41 AM,Other,04/13/2000 03:24:23 AM,100 Block of KISKA RD,SF,94124,B10,17,6636,1,1,2,true,,1,MEDIC,1,10,10,Bayview Hunters Point,"(37.7301576924252, -122.375989158092)",001040031-M17
001040032,E03,00030722,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:25:24 AM,04/13/2000 02:26:01 AM,04/13/2000 02:26:25 AM,,04/13/2000 02:31:54 AM,,,Other,04/13/2000 02:45:42 AM,300 Block of JONES ST,SF,94102,B03,03,1461,3,3,3,false,,1,ENGINE,2,2,6,Tenderloin,"(37.7843907940022, -122.412757052976)",001040032-E03
001040034,M18,00030724,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:46:26 AM,04/13/2000 02:48:33 AM,04/13/2000 02:51:38 AM,04/13/2000 02:53:56 AM,04/13/2000 02:59:31 AM,,,Other,04/13/2000 03:12:39 AM,4000 Block of ORTEGA ST,SF,94122,B08,23,7715,1,1,2,false,,1,MEDIC,1,8,4,Sunset/Parkside,"(37.7510824533975, -122.50688583822)",001040034-M18
001040035,M08,00030725,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:57:09 AM,04/13/2000 02:59:05 AM,04/13/2000 03:00:04 AM,04/13/2000 03:02:14 AM,04/13/2000 03:07:29 AM,04/13/2000 03:19:51 AM,04/13/2000 03:29:12 AM,Other,04/13/2000 03:46:32 AM,300 Block of FREMONT ST,SF,94105,B03,35,2137,1,1,2,true,,1,MEDIC,1,3,6,Financial District/South Beach,"(37.7874196524696, -122.392776012)",001040035-M08
001040036,M07,00030726,Medical Incident,04/13/2000,04/12/2000,04/13/2000 02:56:52 AM,04/13/2000 02:59:26 AM,04/13/2000 03:01:03 AM,04/13/2000 03:02:54 AM,04/13/2000 03:09:45 AM,,,Patient Declined Transport,04/13/2000 03:18:20 AM,900 Block of GUERRERO ST,SF,94110,B06,11,5471,1,1,2,true,,1,MEDIC,1,6,8,Mission,"(37.7563776481913, -122.423183995657)",001040036-M07
001040037,RA13,00030727,Medical Incident,04/13/2000,04/12/2000,04/13/2000 03:05:10 AM,04/13/2000 03:07:11 AM,04/13/2000 03:07:41 AM,04/13/2000 03:08:27 AM,04/13/2000 03:15:16 AM,,,Other,04/13/2000 04:31:26 AM,1400 Block of JONES ST,SF,94108,B01,41,1466,1,1,2,false,,1,AIRPORT,1,1,3,Nob Hill,"(37.7945577013763, -122.414668292409)",001040037-RA13
001040038,RC3,00030728,Medical Incident,04/13/2000,04/12/2000,04/13/2000 03:48:25 AM,04/13/2000 03:50:14 AM,04/13/2000 03:50:48 AM,,,,,Other,04/13/2000 04:15:50 AM,300 Block of CUMBERLAND ST,SF,94114,B06,11,5452,3,3,3,true,,1,RESCUE CAPTAIN,4,6,8,Castro/Upper Market,"(37.7587533216954, -122.43130271352)",001040038-RC3
001040039,M43,00030729,Medical Incident,04/13/2000,04/12/2000,04/13/2000 04:14:06 AM,04/13/2000 04:15:13 AM,04/13/2000 04:15:33 AM,04/13/2000 04:18:02 AM,04/13/2000 04:21:07 AM,04/13/2000 04:56:26 AM,04/13/2000 05:39:24 AM,Other,04/13/2000 05:51:31 AM,200 Block of HAHN ST,SF,94134,B09,43,6241,E,E,3,true,,1,MEDIC,1,9,10,Visitacion Valley,"(37.7112123454185, -122.416389483879)",001040039-M43
001040041,E11,00030731,Medical Incident,04/13/2000,04/12/2000,04/13/2000 04:37:07 AM,04/13/2000 04:39:10 AM,04/13/2000 04:39:27 AM,04/13/2000 04:41:07 AM,04/13/2000 04:43:18 AM,,,Other,04/13/2000 04:53:51 AM,200 Block of CHATTANOOGA ST,SF,94114,B06,11,5513,3,3,3,false,,1,ENGINE,2,6,8,Noe Valley,"(37.7525693955708, -122.426336372621)",001040041-E11
